OBJECTID;equipamien;x;y;identifica;codvia;numportal;telefono;geo_shape;geo_point_2d
24232;RESIDENCIA DE ESTUDIANTES Y TRABAJADORAS ESCLAVAS DE MARÍA 'JUANA MARÍA';725163.31;4372592.279;006402;8340;27;963917188;"{""coordinates"": [-0.38235404169039355, 39.473479139964425], ""type"": ""Point""}";39.473479139964425, -0.38235404169039355
24280;ACP.ACCIÓN CONTRA EL PARO;724429.594;4372866.779;009303;25320;11;963837171;"{""coordinates"": [-0.39078321856503945, 39.476141622874685], ""type"": ""Point""}";39.476141622874685, -0.39078321856503945
24439;ASOCIACIÓN TÉCNICOS ESPECIALIZACIÓN EN LA INVESTIGACIÓN Y ESTUDIO DE LA REALIDAD LATINO AMERICANO - ATELIER;725382.252;4372906.646;001343;28740;5;963423179;"{""coordinates"": [-0.3797049891330678, 39.4762515071602], ""type"": ""Point""}";39.4762515071602, -0.3797049891330678
24443;SOLIDARIDAD PARA EL DESARROLLO  Y LA PAZ - SODEPAU-PV;725141.27;4372637.508;006616;15210;8;963917694;"{""coordinates"": [-0.3825947519370371, 39.473892020888755], ""type"": ""Point""}";39.473892020888755, -0.3825947519370371
21849;INSTITUTO SOCIAL DEL TRABAJO - ISO;725260.17;4372605.808;005459;58140;17;963922662;"{""coordinates"": [-0.38122452535695417, 39.47357557177453], ""type"": ""Point""}";39.47357557177453, -0.38122452535695417
21850;JARIT ASOCIACIÓN CIVIL;725708.261;4371306.652;005379;12390;10;963805076;"{""coordinates"": [-0.3764598056486657, 39.46176426319199], ""type"": ""Point""}";39.46176426319199, -0.3764598056486657
21853;PROGRAMA DE INSERCIÓN DE TRANSEÚNTES - MAMBRÉ;725434.398;4375119.665;005449;40110;9;963666492;"{""coordinates"": [-0.3783509408809141, 39.49615756962001], ""type"": ""Point""}";39.49615756962001, -0.3783509408809141
21907;CENTRO DE DOCUMENTACIÓN Y SOLIDARIDAD CON AMÉRICA LATINA Y AFRICA - CEDSALA;725336.929;4372419.719;003313;65220;8;963916702;"{""coordinates"": [-0.38039589519308664, 39.4718804570052], ""type"": ""Point""}";39.4718804570052, -0.38039589519308664
21931;ASOCIACIÓN LA CASA GRANDE DE VALENCIA;725496.907;4375104.795;001503;14460;8;963463374;"{""coordinates"": [-0.37762975023469764, 39.496007334592385], ""type"": ""Point""}";39.496007334592385, -0.37762975023469764
21983;ESYCU. FUNDACIÓN DE LA COMUNIDAD VALENCIANA DE ESTUDIO Y CULTURA;727422.013;4373509.926;009612;40650;23;963390533;"{""coordinates"": [-0.3558085560434731, 39.481145020477186], ""type"": ""Point""}";39.481145020477186, -0.3558085560434731
23442;O.N.G.D. ASKAN WI;724868.154;4370658.471;009487;31080;6;963420036;"{""coordinates"": [-0.3864336752475612, 39.456149639371745], ""type"": ""Point""}";39.456149639371745, -0.3864336752475612
23623;ARACOVA. ASOCIACION DE REFUGIADOS Y AISLADOS EN LA COMUNIDAD VALENCIANA;723661.391;4371606.122;002032;0;6;963925444;"{""coordinates"": [-0.4001455240516171, 39.46492262805519], ""type"": ""Point""}";39.46492262805519, -0.4001455240516171
23656;DIRECCIÓN GENERAL DE COOPERACIÓN AL DESARROLLO Y RELACIONES EXTERNAS;723311.32;4372414.7;003696;17160;77;961926867;"{""coordinates"": [-0.4039231221696572, 39.4723631737866], ""type"": ""Point""}";39.4723631737866, -0.4039231221696572
23769;CONSORCIO DE ENTIDADES PARA LA ACCIÓN INTEGRAL CON MIGRANTES - CEPAIM;724774.088;4371078.639;003897;46020;16;963925302;"{""coordinates"": [-0.38738442974824594, 39.459956236705665], ""type"": ""Point""}";39.459956236705665, -0.38738442974824594
23802;AGRUPACIÓN CEIBA;723651.851;4371970.785;009707;5490;2;666242983;"{""coordinates"": [-0.4001169099062238, 39.46827896260815], ""type"": ""Point""}";39.46827896260815, -0.4001169099062238
23815;PEJUVEVAL. ASOCIACIÓN DE JUBILADOS Y DE PENSIONADOS DE VENEZUELA EN LA COMUNIDAD VALENCIANA;723285.132;4374685.812;010196;81588;6;645350248;"{""coordinates"": [-0.40346663838487956, 39.49281304776752], ""type"": ""Point""}";39.49281304776752, -0.40346663838487956
23834;CITE PV. CENTRO DE INFORMACIÓN PARA TRABAJADORES/AS MIGRANTES - CITMI;725978.609;4372877.202;003410;52050;5;963925696;"{""coordinates"": [-0.37278854202497513, 39.475830090277654], ""type"": ""Point""}";39.475830090277654, -0.37278854202497513
23994;ASAPECHAVAE. ASOCIACIÓN DE AFECTADOS POR LA ENFERMEDAD DEL CHAGAS. VOLUNTARIOS Y AMIGOS VALENCIA;724526.648;4372373.053;009732;39960;37;963366386;"{""coordinates"": [-0.3898221606641106, 39.47167215571391], ""type"": ""Point""}";39.47167215571391, -0.3898221606641106
24019;SARIRI, INTERCULTURAL;725717.703;4371312.213;010177;12390;8;963222483;"{""coordinates"": [-0.3763482829123363, 39.46181184356243], ""type"": ""Point""}";39.46181184356243, -0.3763482829123363
24039;CENTRO DE INTERNAMIENTO DE EXTRANJEROS;726463.878;4370768.501;003407;78030;52-54;963351100;"{""coordinates"": [-0.36786807414353084, 39.45672189817812], ""type"": ""Point""}";39.45672189817812, -0.36786807414353084
24055;ACOLVALLE. ASOCIACIÓN DE COLOMBIANOS CASA DEL VALLE DEL CAUCA;724290.235;4372003.266;009461;40290;5;963293922;"{""coordinates"": [-0.3926921699405658, 39.46840523815243], ""type"": ""Point""}";39.46840523815243, -0.3926921699405658
24061;ASOCIACIÓN DE CUBANOS RESIDENTES EN VALENCIA CAGUAIRAN;724825.561;4372701.549;009741;12030;25;96;"{""coordinates"": [-0.3862398931111792, 39.474550997354825], ""type"": ""Point""}";39.474550997354825, -0.3862398931111792
24069;ASOCIACIÓN WAYRURO CULTURAL PERUANA;725766.679;4374835.636;009745;70530;13;963297195;"{""coordinates"": [-0.37458677565432913, 39.49351382630781], ""type"": ""Point""}";39.49351382630781, -0.37458677565432913
24073;OFICINA DE EXTRANJERÍA - SEDE 3;725649.86;4374312.334;009890;62610;116;963079800;"{""coordinates"": [-0.37589400010085045, 39.48915600008971], ""type"": ""Point""}";39.48915600008971, -0.37589400010085045
24119;ARI-PERÚ. ASOCIACIÓN DE REFUGIADOS E INMIGRANTES PERUANOS;725389.089;4373916.651;009482;24600;3;661239640;"{""coordinates"": [-0.37928417959982164, 39.48534093901518], ""type"": ""Point""}";39.48534093901518, -0.37928417959982164
24126;FUNDACIÓN AGRICULTORES SOLIDARIOS;725867.819;4372586.736;009465;46080;3;647587928;"{""coordinates"": [-0.37417367069847984, 39.47324465030839], ""type"": ""Point""}";39.47324465030839, -0.37417367069847984
24139;VALENCIA ACOGE;725955.282;4374635.863;006723;62610;254;963660168;"{""coordinates"": [-0.37082700016558684, 39.49634699969861], ""type"": ""Point""}";39.49634699969861, -0.37082700016558684
24148;VENENVAL SOLIDARIA. VENEZOLANOS EN VALENCIA;725260.17;4372605.808;009684;58140;17;641475489;"{""coordinates"": [-0.38122452535695417, 39.47357557177453], ""type"": ""Point""}";39.47357557177453, -0.38122452535695417
