id;Año;Sexo;Distrito;Valor;Fecha creacion;Fecha baja
143;2015;Ambos;PATRAIX;83.36;2023-07-02;NA
147;2015;Ambos;CAMINS AL GRAU;83.1;2023-07-02;NA
148;2015;Ambos;ALGIROS;82.92;2023-07-02;NA
149;2015;Ambos;BENIMACLET;83.93;2023-07-02;NA
150;2015;Ambos;RASCANYA;83.13;2023-07-02;NA
151;2015;Ambos;BENICALAP;83.32;2023-07-02;NA
162;2016;Ambos;LA SAIDIA;83.28;2023-07-02;NA
163;2016;Ambos;EL PLA DEL REAL;85.39;2023-07-02;NA
166;2016;Ambos;JESUS;83.61;2023-07-02;NA
170;2016;Ambos;ALGIROS;83.01;2023-07-02;NA
171;2016;Ambos;BENIMACLET;83.88;2023-07-02;NA
174;2016;Ambos;POBLATS DE L'OEST;82.16;2023-07-02;NA
175;2016;Ambos;POBLATS DE L'OEST;82.52;2023-07-02;NA
181;2017;Ambos;L'EIXAMPLE;83.88;2023-07-02;NA
183;2017;Ambos;CAMPANAR;83.79;2023-07-02;NA
192;2017;Ambos;ALGIROS;83.35;2023-07-02;NA
195;2017;Ambos;BENICALAP;83.03;2023-07-02;NA
198;2017;Ambos;POBLATS DEL NORD;83.45;2023-07-02;NA
199;2018;Ambos;Todos;83.32;2023-07-02;NA
201;2018;Mujeres;Todos;85.89;2023-07-02;NA
202;2018;Ambos;CIUTAT VELLA;81.48;2023-07-02;NA
204;2018;Ambos;EXTRAMURS;84.3;2023-07-02;NA
211;2018;Ambos;QUATRE CARRERES;83.48;2023-07-02;NA
212;2018;Ambos;POBLATS MARITIMS;81.95;2023-07-02;NA
220;2018;Ambos;POBLATS DEL NORD;82.94;2023-07-02;NA
221;2019;Ambos;Todos;83.54;2023-07-02;NA
222;2019;Hombres;Todos;80.63;2023-07-02;NA
228;2019;Ambos;LA SAIDIA;83.36;2023-07-02;NA
232;2019;Ambos;JESUS;84.14;2023-07-02;NA
234;2019;Ambos;POBLATS MARITIMS;82.33;2023-07-02;NA
236;2019;Ambos;ALGIROS;84.46;2023-07-02;NA
238;2019;Ambos;RASCANYA;83.7;2023-07-02;NA
243;2020;Ambos;Todos;83.09;2023-07-02;NA
245;2020;Mujeres;Todos;85.77;2023-07-02;NA
253;2020;Ambos;PATRAIX;83.53;2023-07-02;NA
254;2020;Ambos;JESUS;83.21;2023-07-02;NA
256;2020;Ambos;POBLATS MARITIMS;81.54;2023-07-02;NA
258;2020;Ambos;ALGIROS;84.02;2023-07-02;NA
262;2020;Ambos;POBLATS DE L'OEST;83.26;2023-07-02;NA
266;2021;Hombres;Todos;80.82;2023-07-02;NA
267;2021;Mujeres;Todos;86.51;2023-07-02;NA
271;2021;Ambos;CAMPANAR;85.27;2023-07-02;NA
273;2021;Ambos;L'OLIVERETA;85.13;2023-07-02;NA
274;2021;Ambos;L'OLIVERETA;83.23;2023-07-02;NA
275;2021;Ambos;PATRAIX;84.23;2023-07-02;NA
277;2021;Ambos;QUATRE CARRERES;83.39;2023-07-02;NA
282;2021;Ambos;RASCANYA;83.44;2023-07-02;NA
3;2009;Mujeres;Todos;84.3;2023-07-02;NA
4;2009;Ambos;CIUTAT VELLA;80.02;2023-07-02;NA
