OBJECTID;Nombre Places / Número Plazas;geo_shape;geo_point_2d
311914;1;"{""coordinates"": [-0.384999542007177, 39.49250049035247], ""type"": ""Point""}";39.49250049035247, -0.384999542007177
311915;1;"{""coordinates"": [-0.38496424583789524, 39.49240548215127], ""type"": ""Point""}";39.49240548215127, -0.38496424583789524
311920;1;"{""coordinates"": [-0.39357527666339825, 39.4955137186338], ""type"": ""Point""}";39.4955137186338, -0.39357527666339825
311927;1;"{""coordinates"": [-0.3929516224117911, 39.492615733926066], ""type"": ""Point""}";39.492615733926066, -0.3929516224117911
311936;1;"{""coordinates"": [-0.3359861205015678, 39.4727808750866], ""type"": ""Point""}";39.4727808750866, -0.3359861205015678
311937;1;"{""coordinates"": [-0.33681148258624555, 39.474015522615915], ""type"": ""Point""}";39.474015522615915, -0.33681148258624555
311939;1;"{""coordinates"": [-0.3377973022852289, 39.471923570919856], ""type"": ""Point""}";39.471923570919856, -0.3377973022852289
311940;1;"{""coordinates"": [-0.3383151795991637, 39.47292317026683], ""type"": ""Point""}";39.47292317026683, -0.3383151795991637
311947;1;"{""coordinates"": [-0.34838892283157546, 39.47598818215292], ""type"": ""Point""}";39.47598818215292, -0.34838892283157546
311951;2;"{""coordinates"": [-0.38706651084505495, 39.49451437311875], ""type"": ""Point""}";39.49451437311875, -0.38706651084505495
311954;1;"{""coordinates"": [-0.3895967146337584, 39.49961547808802], ""type"": ""Point""}";39.49961547808802, -0.3895967146337584
311958;1;"{""coordinates"": [-0.385510661229271, 39.52735456491302], ""type"": ""Point""}";39.52735456491302, -0.385510661229271
311964;1;"{""coordinates"": [-0.40094035768661584, 39.45794953042007], ""type"": ""Point""}";39.45794953042007, -0.40094035768661584
311970;1;"{""coordinates"": [-0.3841307904804062, 39.48254738771183], ""type"": ""Point""}";39.48254738771183, -0.3841307904804062
311972;1;"{""coordinates"": [-0.3982488196153179, 39.461174634792656], ""type"": ""Point""}";39.461174634792656, -0.3982488196153179
311974;1;"{""coordinates"": [-0.39953197852342487, 39.45913967977236], ""type"": ""Point""}";39.45913967977236, -0.39953197852342487
311976;1;"{""coordinates"": [-0.4015139420486214, 39.45938890681378], ""type"": ""Point""}";39.45938890681378, -0.4015139420486214
311978;2;"{""coordinates"": [-0.40036739202683796, 39.46152819041468], ""type"": ""Point""}";39.46152819041468, -0.40036739202683796
311985;1;"{""coordinates"": [-0.40991202182316067, 39.46404223761649], ""type"": ""Point""}";39.46404223761649, -0.40991202182316067
311986;1;"{""coordinates"": [-0.4086711822265458, 39.464175114751505], ""type"": ""Point""}";39.464175114751505, -0.4086711822265458
311987;1;"{""coordinates"": [-0.410714674073734, 39.47044932458035], ""type"": ""Point""}";39.47044932458035, -0.410714674073734
311989;1;"{""coordinates"": [-0.41348654366580245, 39.47020599253741], ""type"": ""Point""}";39.47020599253741, -0.41348654366580245
311992;1;"{""coordinates"": [-0.40894161486766833, 39.471357383354814], ""type"": ""Point""}";39.471357383354814, -0.40894161486766833
311993;1;"{""coordinates"": [-0.40743181426218356, 39.46581706527688], ""type"": ""Point""}";39.46581706527688, -0.40743181426218356
311999;1;"{""coordinates"": [-0.34463987436861876, 39.46898520541879], ""type"": ""Point""}";39.46898520541879, -0.34463987436861876
312000;1;"{""coordinates"": [-0.39415759417444707, 39.45515788034926], ""type"": ""Point""}";39.45515788034926, -0.39415759417444707
312002;1;"{""coordinates"": [-0.34481906199191575, 39.47268361783633], ""type"": ""Point""}";39.47268361783633, -0.34481906199191575
312005;1;"{""coordinates"": [-0.4212381708469765, 39.50543970736636], ""type"": ""Point""}";39.50543970736636, -0.4212381708469765
312007;1;"{""coordinates"": [-0.36054570427771926, 39.48483421431743], ""type"": ""Point""}";39.48483421431743, -0.36054570427771926
312008;1;"{""coordinates"": [-0.37587166463582233, 39.482763366415675], ""type"": ""Point""}";39.482763366415675, -0.37587166463582233
312009;1;"{""coordinates"": [-0.34369555576350364, 39.46109499672319], ""type"": ""Point""}";39.46109499672319, -0.34369555576350364
312011;1;"{""coordinates"": [-0.3935123889021377, 39.463969061082175], ""type"": ""Point""}";39.463969061082175, -0.3935123889021377
312013;1;"{""coordinates"": [-0.3296667398405339, 39.473525291169494], ""type"": ""Point""}";39.473525291169494, -0.3296667398405339
312014;1;"{""coordinates"": [-0.329418501910201, 39.47318862391353], ""type"": ""Point""}";39.47318862391353, -0.329418501910201
312016;1;"{""coordinates"": [-0.3356564076719218, 39.459463201292166], ""type"": ""Point""}";39.459463201292166, -0.3356564076719218
312019;1;"{""coordinates"": [-0.37542778934856313, 39.48190446227618], ""type"": ""Point""}";39.48190446227618, -0.37542778934856313
312020;1;"{""coordinates"": [-0.3929522460813775, 39.47576630424077], ""type"": ""Point""}";39.47576630424077, -0.3929522460813775
312024;1;"{""coordinates"": [-0.32786974987796813, 39.47193684290613], ""type"": ""Point""}";39.47193684290613, -0.32786974987796813
312026;1;"{""coordinates"": [-0.3265165358349563, 39.46998093189271], ""type"": ""Point""}";39.46998093189271, -0.3265165358349563
312028;1;"{""coordinates"": [-0.3674677686568514, 39.448589446616026], ""type"": ""Point""}";39.448589446616026, -0.3674677686568514
312029;1;"{""coordinates"": [-0.3954785820016019, 39.50032445294753], ""type"": ""Point""}";39.50032445294753, -0.3954785820016019
312030;1;"{""coordinates"": [-0.33113687934789976, 39.465505742487466], ""type"": ""Point""}";39.465505742487466, -0.33113687934789976
312031;1;"{""coordinates"": [-0.4009216549089225, 39.47258032000118], ""type"": ""Point""}";39.47258032000118, -0.4009216549089225
312032;1;"{""coordinates"": [-0.33504297951580697, 39.46598710052043], ""type"": ""Point""}";39.46598710052043, -0.33504297951580697
312043;1;"{""coordinates"": [-0.3852051415147482, 39.46744608380364], ""type"": ""Point""}";39.46744608380364, -0.3852051415147482
312044;1;"{""coordinates"": [-0.38518492972388735, 39.46763940860345], ""type"": ""Point""}";39.46763940860345, -0.38518492972388735
312046;1;"{""coordinates"": [-0.34784773392594265, 39.467538798958124], ""type"": ""Point""}";39.467538798958124, -0.34784773392594265
312047;1;"{""coordinates"": [-0.3478647648441354, 39.467932176789766], ""type"": ""Point""}";39.467932176789766, -0.3478647648441354
312049;1;"{""coordinates"": [-0.36026229870398085, 39.47280424718251], ""type"": ""Point""}";39.47280424718251, -0.36026229870398085
312050;1;"{""coordinates"": [-0.333736747344213, 39.46582240402355], ""type"": ""Point""}";39.46582240402355, -0.333736747344213
312055;1;"{""coordinates"": [-0.3892451616332771, 39.4444001859813], ""type"": ""Point""}";39.4444001859813, -0.3892451616332771
312059;1;"{""coordinates"": [-0.36125947569396893, 39.43003766562542], ""type"": ""Point""}";39.43003766562542, -0.36125947569396893
312060;1;"{""coordinates"": [-0.3748636840733116, 39.48793108693857], ""type"": ""Point""}";39.48793108693857, -0.3748636840733116
312062;1;"{""coordinates"": [-0.3671981071058098, 39.47033887326876], ""type"": ""Point""}";39.47033887326876, -0.3671981071058098
312067;1;"{""coordinates"": [-0.3398154180091186, 39.46740448704491], ""type"": ""Point""}";39.46740448704491, -0.3398154180091186
312069;1;"{""coordinates"": [-0.37019958797737124, 39.451904264084185], ""type"": ""Point""}";39.451904264084185, -0.37019958797737124
312072;1;"{""coordinates"": [-0.3786625495025922, 39.48475799473983], ""type"": ""Point""}";39.48475799473983, -0.3786625495025922
312075;1;"{""coordinates"": [-0.4100854106461485, 39.46308574906254], ""type"": ""Point""}";39.46308574906254, -0.4100854106461485
312079;1;"{""coordinates"": [-0.3933342188565157, 39.46193130364439], ""type"": ""Point""}";39.46193130364439, -0.3933342188565157
312080;1;"{""coordinates"": [-0.39325899567398254, 39.46188380653424], ""type"": ""Point""}";39.46188380653424, -0.39325899567398254
312082;1;"{""coordinates"": [-0.3721683080811584, 39.49602441789383], ""type"": ""Point""}";39.49602441789383, -0.3721683080811584
312085;1;"{""coordinates"": [-0.33612011316334384, 39.47336125368402], ""type"": ""Point""}";39.47336125368402, -0.33612011316334384
312087;1;"{""coordinates"": [-0.40395041792368525, 39.45496909214878], ""type"": ""Point""}";39.45496909214878, -0.40395041792368525
312093;1;"{""coordinates"": [-0.36379008415570374, 39.485432580402446], ""type"": ""Point""}";39.485432580402446, -0.36379008415570374
312095;1;"{""coordinates"": [-0.3832694798512811, 39.457179553640394], ""type"": ""Point""}";39.457179553640394, -0.3832694798512811
312096;1;"{""coordinates"": [-0.3697249146818104, 39.496670714986955], ""type"": ""Point""}";39.496670714986955, -0.3697249146818104
312098;1;"{""coordinates"": [-0.39852055359363026, 39.45995134433494], ""type"": ""Point""}";39.45995134433494, -0.39852055359363026
312102;1;"{""coordinates"": [-0.3791236867095257, 39.447214394607975], ""type"": ""Point""}";39.447214394607975, -0.3791236867095257
312104;1;"{""coordinates"": [-0.37684137937001716, 39.45612381982926], ""type"": ""Point""}";39.45612381982926, -0.37684137937001716
312108;1;"{""coordinates"": [-0.3726094406294905, 39.45026805491772], ""type"": ""Point""}";39.45026805491772, -0.3726094406294905
312116;1;"{""coordinates"": [-0.3915674926361589, 39.4714027740215], ""type"": ""Point""}";39.4714027740215, -0.3915674926361589
312119;2;"{""coordinates"": [-0.4068242745291038, 39.47065291617261], ""type"": ""Point""}";39.47065291617261, -0.4068242745291038
312121;2;"{""coordinates"": [-0.40482209877983744, 39.47059934852608], ""type"": ""Point""}";39.47059934852608, -0.40482209877983744
312131;2;"{""coordinates"": [-0.40091607559937487, 39.468267280412874], ""type"": ""Point""}";39.468267280412874, -0.40091607559937487
312132;1;"{""coordinates"": [-0.39987806668095477, 39.46843779603784], ""type"": ""Point""}";39.46843779603784, -0.39987806668095477
312133;2;"{""coordinates"": [-0.39673349064863034, 39.465619804104584], ""type"": ""Point""}";39.465619804104584, -0.39673349064863034
312138;1;"{""coordinates"": [-0.3995719703517498, 39.46317258031526], ""type"": ""Point""}";39.46317258031526, -0.3995719703517498
312147;1;"{""coordinates"": [-0.3925169856268153, 39.4712585991356], ""type"": ""Point""}";39.4712585991356, -0.3925169856268153
312151;1;"{""coordinates"": [-0.3971771943410643, 39.46917690593594], ""type"": ""Point""}";39.46917690593594, -0.3971771943410643
312152;1;"{""coordinates"": [-0.39685467990760287, 39.469546998833295], ""type"": ""Point""}";39.469546998833295, -0.39685467990760287
312154;1;"{""coordinates"": [-0.3972170364906614, 39.471251711145065], ""type"": ""Point""}";39.471251711145065, -0.3972170364906614
312160;1;"{""coordinates"": [-0.3972128026273192, 39.47159252826419], ""type"": ""Point""}";39.47159252826419, -0.3972128026273192
312161;1;"{""coordinates"": [-0.3960362823947204, 39.47160357638125], ""type"": ""Point""}";39.47160357638125, -0.3960362823947204
312162;1;"{""coordinates"": [-0.39698543564896055, 39.472217413737404], ""type"": ""Point""}";39.472217413737404, -0.39698543564896055
312163;1;"{""coordinates"": [-0.39899084279469055, 39.47277643136136], ""type"": ""Point""}";39.47277643136136, -0.39899084279469055
312164;1;"{""coordinates"": [-0.39774810154313783, 39.4732571308816], ""type"": ""Point""}";39.4732571308816, -0.39774810154313783
312168;2;"{""coordinates"": [-0.3616755953880974, 39.494472204706796], ""type"": ""Point""}";39.494472204706796, -0.3616755953880974
312173;1;"{""coordinates"": [-0.37229486011835383, 39.48505627781974], ""type"": ""Point""}";39.48505627781974, -0.37229486011835383
312176;4;"{""coordinates"": [-0.3666130113105108, 39.49535592010823], ""type"": ""Point""}";39.49535592010823, -0.3666130113105108
312187;1;"{""coordinates"": [-0.3679926727444274, 39.49491006831113], ""type"": ""Point""}";39.49491006831113, -0.3679926727444274
312188;1;"{""coordinates"": [-0.37440978365617483, 39.48665939598981], ""type"": ""Point""}";39.48665939598981, -0.37440978365617483
312189;1;"{""coordinates"": [-0.3698197813623025, 39.49717218178753], ""type"": ""Point""}";39.49717218178753, -0.3698197813623025
312190;1;"{""coordinates"": [-0.3700953291629558, 39.49613019619576], ""type"": ""Point""}";39.49613019619576, -0.3700953291629558
312191;1;"{""coordinates"": [-0.3695641304824283, 39.49498198720953], ""type"": ""Point""}";39.49498198720953, -0.3695641304824283
312193;1;"{""coordinates"": [-0.36963946366442924, 39.49401389982749], ""type"": ""Point""}";39.49401389982749, -0.36963946366442924
