Id. Falla;OBJECTID;geo_shape;geo_point_2d
292;2859;"{""coordinates"": [[[-0.3959142536897622, 39.48212970405117], [-0.39576798235427196, 39.48216443601703], [-0.39576032536904265, 39.482145664827584], [-0.3955802576142725, 39.481671526963694], [-0.3955574382853049, 39.48160256207934], [-0.39548445569146723, 39.4816295292836], [-0.39513026771998666, 39.48178136230864], [-0.39503174214843095, 39.48165381681123], [-0.39522590807947294, 39.481568132587036], [-0.39533498544256457, 39.48152134713322], [-0.39541769278791283, 39.48148587115878], [-0.3956405606509666, 39.48140277365033], [-0.3959142536897622, 39.48212970405117]]], ""type"": ""Polygon""}";39.48172101004541, -0.39554511080945143
52;2863;"{""coordinates"": [[[-0.3882496225042083, 39.45743655832938], [-0.38816909416242795, 39.457529899914256], [-0.387355940618657, 39.45720099879941], [-0.387442351901203, 39.4571149070001], [-0.3882496225042083, 39.45743655832938]]], ""type"": ""Polygon""}";39.457321751054465, -0.3878068515337793
80;2865;"{""coordinates"": [[[-0.3822213029990667, 39.47872532436733], [-0.38228551407953626, 39.47873248242698], [-0.38215892366460463, 39.479118476391605], [-0.3820642315456176, 39.47940689476717], [-0.3819088946258759, 39.4798790882381], [-0.3817754640494182, 39.479846508785684], [-0.38195733110145375, 39.479294584505936], [-0.38195169709272864, 39.47929292607862], [-0.38195752834503327, 39.47927693171369], [-0.3820356393795794, 39.479292655131744], [-0.3822213029990667, 39.47872532436733]]], ""type"": ""Polygon""}";39.479399679042835, -0.38200676143224405
377;2866;"{""coordinates"": [[[-0.3508759612537837, 39.45903315954303], [-0.3502843955722489, 39.45862340647787], [-0.3504392089643597, 39.458490998118045], [-0.35094518091146054, 39.45884110362269], [-0.3509981736749206, 39.45869600178961], [-0.3510627795398054, 39.458506196414476], [-0.3512591520569329, 39.458643360576325], [-0.3512053390275589, 39.458758567135895], [-0.35119082146107344, 39.45882864254504], [-0.3511383277259845, 39.45897395403382], [-0.35101382321239993, 39.45890142976088], [-0.3508759612537837, 39.45903315954303]]], ""type"": ""Polygon""}";39.4587540250988, -0.35081654772628823
153;2876;"{""coordinates"": [[[-0.3309387331725596, 39.471896020974654], [-0.3311648276773302, 39.47192520759077], [-0.3311473905077674, 39.472005937959075], [-0.3309443062473634, 39.47199422163166], [-0.3309387331725596, 39.471896020974654]]], ""type"": ""Polygon""}";39.471954223423765, -0.33104583526350345
371;2877;"{""coordinates"": [[[-0.4129056797273271, 39.46809595430359], [-0.4126039127371817, 39.468114965467386], [-0.41256989814497447, 39.467884123935924], [-0.4127673973996653, 39.4678709626698], [-0.4129438972729708, 39.46785698225789], [-0.41318539666174886, 39.46784046739695], [-0.4134045031384823, 39.46782548333062], [-0.4134305175164205, 39.46798681447061], [-0.4134820764915691, 39.46845227007016], [-0.4134334148966956, 39.46845618964442], [-0.4132514033748817, 39.468470850793295], [-0.41320703673605186, 39.46807482875983], [-0.4129056797273271, 39.46809595430359]]], ""type"": ""Polygon""}";39.468064410831325, -0.4131137119981349
282;2880;"{""coordinates"": [[[-0.3994116272206576, 39.462261983498884], [-0.3994167485354284, 39.462417192466624], [-0.3994337943668652, 39.462687021954224], [-0.39934096672338437, 39.46269054554952], [-0.3992483661242599, 39.462699487562226], [-0.39923102904104896, 39.46244991692019], [-0.39923043699474453, 39.46244147320009], [-0.3992295219264555, 39.462428440355964], [-0.39922803755675407, 39.462405885041804], [-0.3992258095271179, 39.46237468171742], [-0.39922367224916183, 39.462344755174406], [-0.39922089023129254, 39.46230580266168], [-0.39921688264080857, 39.46227491716406], [-0.3994116272206576, 39.462261983498884]]], ""type"": ""Polygon""}";39.46247888084467, -0.3993272508574222
29;2884;"{""coordinates"": [[[-0.38250705105371463, 39.47386544970962], [-0.38244313930719354, 39.47389568328154], [-0.3820317041670709, 39.473822005800635], [-0.38194591075656753, 39.47380852191546], [-0.38185581995864815, 39.47380232115783], [-0.38185529015400027, 39.47380411188248], [-0.3818289906521322, 39.47380275180989], [-0.3818379828444419, 39.47372605618242], [-0.38191485605261066, 39.47373742751431], [-0.38191120907068365, 39.47376338078466], [-0.38187646772615236, 39.4737598954443], [-0.38187529887754607, 39.473766265359124], [-0.3819115534488474, 39.47376969470368], [-0.38191057164509734, 39.47377417698474], [-0.3819151801921727, 39.47377527177967], [-0.38193128134741167, 39.47377655432287], [-0.38202238209508516, 39.47378381288523], [-0.3820257231422423, 39.47375361858248], [-0.382513515220248, 39.47381752614648], [-0.38250705105371463, 39.47386544970962]]], ""type"": ""Polygon""}";39.47381516445285, -0.38219897914093126
71;2886;"{""coordinates"": [[[-0.3712914261103212, 39.482360608622145], [-0.3707309444659314, 39.4822437217412], [-0.3705600708988204, 39.482314083984484], [-0.3704795266266059, 39.48229236009166], [-0.3705511417354408, 39.48216358404382], [-0.37058423126742185, 39.48209626250044], [-0.37067606073294185, 39.48192723942979], [-0.37073577251573125, 39.48194660447527], [-0.37081891642697123, 39.482075595034225], [-0.3713618429036064, 39.482189231279506], [-0.3712914261103212, 39.482360608622145]]], ""type"": ""Polygon""}";39.482185203124914, -0.3708971136838675
14;2894;"{""coordinates"": [[[-0.36847404241009346, 39.466103167548596], [-0.3684741110196586, 39.466103135769615], [-0.36863288333582334, 39.4660271454088], [-0.36867308521690784, 39.46608398044819], [-0.3690032758951742, 39.46655404143926], [-0.36884673202450224, 39.46663678528727], [-0.36847404241009346, 39.466103167548596]]], ""type"": ""Polygon""}";39.46633079442915, -0.3687394569745416
